Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Afghanistan,0.6,0.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88.3,406.5,542.7,531.3,"1,900.30","3,728.90","6,011.60"
       Bangladesh,0.1,0.6,0.6,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,29.7,0.9,0.6,0.2,3,0.4,2.7,2,1.5,0.6,0.6,0.8,0.9,1.5,5.6,2,2,1.4
       Burma (Myanmar),.,.,.,0.1,0.1,0.3,0.4,0.2,0.4,0.5,0.6,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.2,.,.,.
       Cambodia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.2,2.1,3.1,1.9,.,.,.,.,.,.,.,1.1,1.1,1.1,0.7
       China (Taiwan),102.8,65.3,0,0.1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
       India,0.5,0.9,1.2,0.6,0,0.2,0.3,0.2,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.5,0.2,0.3,0.5,0.5,0.2,0.3,0.6,0.6,2.1,1.2,1.5,9.1,1.3,1.5,1.3
       Indonesia,118.1,157.5,87.4,76.4,67.8,83,51.6,86.1,60.4,36.2,20.1,9.4,4.4,2.7,39.2,3,.,.,.,0.8,0.1,0.6,0.6,.,2.2,1.7,0.3,0.7,8.2,3.6,9,13.9
"       Korea, South",448.8,751.2,598.6,301.3,342.1,329.4,351.8,421.2,408.3,283,3.4,2.7,2.3,1.8,1.4,1.1,0.4,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.
       Laos,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16.4,.,.,0.7,.,.,.,.,.,.,.,.,.,.,0,0.1
       Malaysia,105.1,46.4,20.1,16.8,21.7,20.7,8.8,19.8,8.8,4.1,1.7,1.5,1.5,1.4,.,.,.,0.4,0.7,0.8,0.8,1.2,0.9,0.9,1.3,1,1,1.1,8.6,0.9,1.3,0.8
       Maldives,.,.,.,.,.,.,.,.,.,0.1,0.1,0,0,0.1,0.1,0.1,0.1,.,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,3.5,0.2,0.2,0.2
       Mongolia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.1,0.1,0.1,0.1,0.5,0.5,0.5,1.1,3.7,3.2,2.4,4.3,3.9,4,5,1.9
       Nepal,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.9,0.2,0.3,0.3,0.2,0.1,0.1,0.2,0.3,1.3,0.9,0.3,1,16.9,4.2,5.1,1.8,0.7,0.8,0.9
       Pakistan,0.9,1.5,1.2,.,.,1.2,491.4,546.6,573.8,536.6,525.8,423.9,361.3,278.9,.,7.1,.,.,.,.,.,.,0.2,.,.,347.6,304.2,95.6,341.4,324.7,319.4,358.1
       Philippines,110.4,101.2,79.6,174.4,158.9,100.7,96.8,93.6,74.2,180.7,172.3,207.4,199.6,230.5,284.2,44.4,24.3,1.2,2.8,1.6,1.7,1.6,13.1,5.9,12.5,66.3,62.3,59,40.2,34.3,43.9,29.3
       Singapore,.,.,.,.,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.
       Sri Lanka,0,.,0.1,0.1,0.2,4.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.1,0.1,0.2,0.3,0.3,6.9,0.2,0.3,0.3,4.2,3.4,8.5,1.6,1.5,0.6
       Thailand,136.8,104.6,80.5,86.2,114.7,158.8,181.4,184,180.1,150.6,87.7,74.2,37.9,8.4,1,.,3.2,1.2,3.1,1.9,2.1,8.1,2.1,5.8,6.4,4.3,4.3,5,10.2,4,.,2
       Timor-Leste,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11.3,10.4,10.2,8.4,6.2,4.1,2.8,1.2,0.7,0.1
       Vietnam,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3.9,.,.,.,.,.,.,.,.,0.1,0.1,0.3,0.2
