Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Dominica,.,.,.,.,.,.,.,.,.,.,.,.,.,1.1,0.8,0.7,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.1,0.5,0.2,0.3,0.2,0.1
       Dominican Republic,4.5,2,2.5,8,7.2,10.8,12.4,11.5,15.4,7.8,5.7,2,1.1,3,2.4,2.8,2,21.2,0.6,0.7,1.2,1.8,1.8,5,1.4,6.4,1.2,3.9,2.7,4.1,2.1,1.5
       Ecuador,44.6,29.1,1.1,7.5,9.1,9.8,8.7,12.2,11.8,7.8,7.6,1.1,7.3,6.3,4.1,9.5,9.3,0.7,0.4,0.7,0.6,2.9,3.6,1.1,0.7,4.3,1.9,.,.,.,0,0.2
       El Salvador,1.6,0.1,0,13.7,74.6,161.3,153.2,357.2,239.8,209.5,187,132.5,127.3,122.3,97.3,32.1,15.7,0.6,0.5,0.7,0.6,0.6,2.2,0.6,8.5,2.2,4.2,7.8,3.6,12.3,9.3,7.3
       Grenada,.,.,.,.,.,.,.,0.1,0.1,.,.,.,0.1,1,1,0.8,0.3,0.1,0.1,0.5,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.1
       Guatemala,1.5,0,0,.,.,.,.,.,0.8,9.2,9.2,15.2,14.7,5,0.6,0.3,0.2,0,.,.,0.3,1,1.9,0.3,0.3,0.4,0.4,0.6,0.5,0.5,0.5,0.5
       Guyana,.,.,.,.,0.1,0.1,0,.,.,.,.,.,0.1,.,0.1,0.1,0.1,68.1,0.1,0.4,0.2,0.4,0.4,0.3,0.6,0.6,0.8,0.5,0.4,0.4,0.4,0.3
       Haiti,1.8,2,1,0.3,0.9,1.1,1.3,1.9,1.3,3.3,2.2,0.3,0.2,0.8,2.4,.,.,.,10.7,1.5,0.6,1.2,3.1,5.3,.,0.5,0.5,0.8,0.5,1.3,1.2,1.2
       Honduras,9,8.7,5.7,9.2,18.8,61.5,91,140.7,118.6,105.2,102.6,67,64.3,31.9,48.5,8.8,2.3,0.7,0.4,0.7,0.5,1.6,2.5,0.8,0.7,0.8,1,4.1,3.1,2.2,2.6,2
       Jamaica,.,.,.,.,3.5,4.1,6.5,7.6,13.5,13.7,5.6,0.5,5.9,9.5,2.9,4.5,1.2,2.7,0.6,2.2,1.2,1.9,1.8,1.2,1.3,1.4,1.5,1.5,1.5,2.3,1.9,1.3
       Mexico,0.4,0.3,0.5,0.3,0.3,0.3,0.1,0.3,0.4,0.3,0.4,0.4,0.4,26.1,1.3,37.7,1,0.3,0.5,3.1,48.7,1.2,1.1,1.1,1.4,1.1,1.4,1.4,1.4,0,0.1,0.4
       Nicaragua,9,1.1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,1.8,0.2,0.2,1,1.9,2.5,0.8,1.4,1.7,1.6
       Panama,9,1.4,3.5,0.7,0.8,10.6,10.3,24.5,18.6,14.1,5.9,.,.,.,.,.,.,.,0.3,.,.,.,2.4,0.7,7.3,0.2,1.4,2.9,2.1,4.4,1.8,0.7
       Paraguay,2.2,1.7,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.7,0.6,0.1,0.2,0.2,0.4,0.3,0.3,0.3,1,0.4,0.3,.,.,.,0,0.2
       Peru,31.5,24.3,13.8,7.6,9.1,9.8,8.6,19.4,15.2,1.1,0.2,0.7,4.7,1.7,9.1,0.2,.,.,0.4,20.1,3.6,4.5,10.3,0.6,0.6,0.9,1.8,.,.,.,0,0.2
       St. Kitts and Nevis,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0.9,0.8,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.4,0.4,0.4,0.7,0.3,0.3,0.3,0.1
       St. Lucia,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0.8,0.8,0.9,0.3,0.1,0.2,0.2,0.4,0.3,0.3,0.4,0.4,0.4,0.8,0.3,0.5,0.3,0.1
       St. Vincent and Grenadines,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0.9,0.8,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.2,0.1,.,.,.,0.1,0.1
       Suriname,.,.,.,0.1,0.1,0,.,.,0.1,0.1,.,0,0,.,.,.,.,.,0,0.2,0.2,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.3,0.3,0.2,0.2
       Trinidad & Tobago,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0.2,1,0.8,0.8,0.8,0.1,0.1,0.5,0.5,2,0.5,0.8,0.8,0.5,0.6,.,.,.,0,0.1
       Uruguay,0.1,.,.,.,.,0,0.1,0.2,0.2,0.2,1.2,0.2,1,0.3,0.7,4.7,5.4,0.2,0.2,1.9,0.4,1.4,2.1,0.8,0.5,1.7,2.2,.,.,.,0,0.2
       Venezuela,0.2,0.3,.,.,0,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.2,0.6,0.9,0.3,0.3,0.4,16.8,1.8,0.7,0.5,0.5,0.6,0.6,0.8,.,.,.,.,.
