Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Antigua and Barbuda,.,.,.,.,.,.,.,.,.,.,.,.,.,1.2,0.9,1.2,0.1,0.1,0.1,0.2,0.4,5.9,13.7,0.8,0.9,4.3,0.4,1.7,0.7,0.5,0.6,0.1
       Argentina,2.1,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.2,5.8,9.5,22.3,1.7,7.6,21.7,2.5,6.9,10.4,7.1,2.2,3,5.1,1.2,1.2,1.1,1.2,0.9
"       Bahamas, The",.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.1,0,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.5,1.3,0.9,0.6
       Barbados,.,.,0,0.1,0.1,0.1,.,0.1,0.1,.,.,.,0.2,1,1.8,1.2,0.2,0.1,0.1,11.5,2.2,0.4,0.2,0.2,0.3,0.3,0.1,.,.,.,0.1,0.1
       Belize,.,.,.,.,.,0.1,0.1,1,1.1,0.9,1,0.5,0.9,0.9,0.9,0.9,0.9,0.3,0.1,0.4,0.4,0.5,0.3,0.3,0.5,0.5,0.5,0.5,1.1,0.5,1.8,0.9
       Bolivia,9,2.3,16.8,0.7,.,.,.,0.2,5.9,2.7,2,0.7,8.4,71.6,52.2,39.5,31.8,5.9,4.8,0.7,0.7,8.2,2.3,2.1,1.5,1.4,3.2,5.1,.,.,0,0.2
       Brazil,0.2,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.1,0.1,0.2,0.3,0.1,0.1,0.3,0.3,7.8,0.3,0.3,21.7,0.5,0.6,.,.,.,0,0.2
       Chile,.,.,.,.,.,.,.,.,.,.,.,.,0.1,.,4.8,5.3,0.4,0.1,0.7,0.7,0.5,27.8,1.1,1,2,1.3,2.6,1.1,1.2,1.3,1.2,0.5
       Colombia,2,141.5,32.5,0.6,0.6,20.7,1.4,45.9,1.5,7.3,8.5,6.5,12.7,140.7,72.3,79.9,41.2,11.7,14.6,53,18.3,35.7,56.1,3.7,4.8,1.4,24.9,112.7,109.7,95.4,89.2,54
       Costa Rica,14.5,.,.,.,0.1,4,8.7,16.6,19.8,4.5,2.9,0.4,0.4,0.3,0.5,0.3,0.3,0.1,0.1,0.3,0.3,0.3,0.6,0.3,0.9,0.5,0.4,.,.,.,0.1,0.2
