Country,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
       Angola,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.6,0.2,.,.,.,.,.,0.3,0.6,0.3,0.7,0.4,0.3
       Benin,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.5,0.1,0.2,0.4,0.4,4.5,0.5,0.4,0.5,0.6,0.4,.,.,0.4,0.4,0.1
       Botswana,.,.,.,0.2,1.1,1.2,9.8,16.8,16.3,6.3,3.1,0.5,1.3,2,4.7,0.8,3.2,0.5,5.6,0.6,0.5,1.4,0.7,0.6,2.7,2,1.7,1.6,1.3,0.8,0.7,1
       Burkina Faso,.,.,0.3,0.2,0.2,0.2,0.2,0.1,0,0.1,0.1,0.1,0.2,0.1,0.2,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.2,0.2
       Burundi,.,.,.,.,.,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.3,0.5,.,0.1,0.1,.,.,.,.,.,.,.,.,.,0.5,0.3,0.3
       Cameroon,.,13.6,5,2.4,9.4,3,4.9,9.3,9.1,0.4,1.3,0.4,0.4,0.7,1.9,0.4,0.5,0.1,.,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.5,0.4,0.5,0.5,0.4,0.3
       Cape Verde,.,.,.,.,.,.,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.1,0.5,0.2,.,0.1,0.1,0.3,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.2
       Central African Republic,.,.,.,.,.,0,0.1,0.2,0.2,0.2,1.1,0.2,0.3,0.4,0.6,0.4,0.3,.,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0,.,.,0.1,0.3,0.1
       Chad,.,.,.,.,.,.,0.1,3.9,9.2,10.2,15.6,9.3,3.5,6.2,1.7,0.5,0.5,0.3,0.1,.,0,0.1,0.1,0.1,0.2,0.3,0.3,0.6,2.9,0.5,0.4,0.2
       Comoros,.,.,.,.,.,.,.,.,.,0,0,0.1,0.1,0.2,0.1,0.1,0.2,.,.,0.1,0.1,0.1,0,.,.,.,.,0.1,0.6,0.6,0.1,1.1
       Congo (Brazzaville),.,.,.,.,.,0.1,0.1,0,.,.,0,0.1,0,0.1,0.3,0.2,0.2,0.1,0.2,0.2,0.2,.,.,.,0.1,0.2,0.1,0,0.2,0.3,0.4,0.2
       Congo (Kinshasa),88.1,52.9,24.6,15.8,14.4,21.1,19.1,14.1,14.7,13.7,8.9,6.6,6.3,5.2,0,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.4,0.4,6.2,6.4
       Cote d'Ivoire,.,.,.,0,0.1,0.1,0.1,0.3,0.3,0.2,0.3,0.2,0.2,1,3.8,0.3,0.3,0.2,0.2,0.2,0.2,1.8,0.9,0,.,.,.,.,.,.,.,.
       Djibouti,.,.,.,.,.,0.1,3.1,3.9,4.6,3.5,2.3,1.8,1,3.3,2.5,0.1,0.3,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.3,2,15.6,7.9,5.1,4.6,4.2,2.3
       Equatorial Guinea,.,.,.,.,.,0.1,0.1,0.1,0.1,1.8,0.2,0.1,0.2,0.6,0.2,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
       Eritrea,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.9,17.6,2.8,1.8,0.5,0,0.2,0.4,0.4,0.3,0.3,.,.,.
       Ethiopia,7.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,1.2,4.8,6.4,1.7,1.6,4.3,0.2,.,3.8,5.2,3.4,8.3,2.7,2.4,1.4
       Gabon,5.8,5.4,.,0.1,5.6,5.2,2.1,5.7,0.2,0.3,0.2,0.2,0.2,0.2,0.5,0.2,0.2,.,.,.,.,.,.,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.2
"       Gambia, The",.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0.1,0.2,0.9,0.3,1.9,0.1,.,.,.,.,.,.,.,0.1,0.1,0.2,0.2,0.1,0.1,0.1
       Ghana,0.2,0.6,0.6,0.4,0.4,0.6,0.5,0.4,0.5,0.4,0.4,0.4,0.3,0.3,1.7,0.7,1.3,0.7,0.4,0.3,0.3,4.5,2.1,1.5,2.8,1.8,1.8,1.9,1.5,1.4,1.6,0.9
       Guinea,.,.,.,.,.,.,0.1,2.9,5.5,3.6,2,0.2,0.2,0.9,1.3,0.5,0.4,0.1,0.2,0,0.1,0.1,0.2,0.2,3.9,0.3,0.2,0.5,0.6,0.6,0.5,0.4
       Guinea-Bissau,.,.,.,.,.,0,0.1,0,0,.,0.1,0.1,0.1,0.7,0.6,0.4,2.6,0.1,0.1,0.1,0.2,0.1,.,0,0.1,0.1,0.1,.,0.1,0.1,0.1,0.1
       Kenya,44,74.3,26.1,47.3,13.7,65,40.8,42.9,38.2,35.6,19.4,10.1,25.1,2.1,1,1.1,0.9,0.4,0.4,0.4,0.4,0.6,0.7,0.5,1.7,18.2,2.4,10.4,4.3,.,0,0.8
       Lesotho,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0.4,0.2,0.2,.,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,.,.,0.1,0.1,0.2
       Liberia,1.7,1.9,3.6,6.2,13.2,24.8,23.9,23.2,23.2,9.7,2.3,0.8,0.8,.,.,.,.,.,.,19.6,.,.,.,.,.,.,.,.,30.4,23.5,56.9,87.6
       Madagascar,.,.,.,.,.,.,0,0.1,3.7,2.6,1,0.1,0.1,0.8,0.3,0.2,0.4,.,.,0.1,0.1,0.2,0.1,0.2,0.5,0.2,0.2,0.4,1.3,0.8,0.4,0.4
       Malawi,.,.,.,0,0,0.1,0.3,0.3,2.1,2,1.1,1.1,2.3,2.3,0.4,0.2,0.1,0.2,0.2,0.2,1,1.5,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.6,0.5,0.4
       Mali,.,.,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.4,0.3,1.3,0.2,0.2,0.2,0.2,2.4,1.2,0.3,0.7,0.4,0.4,.,.,.,0.1,0.2
       Mauritania,.,.,.,.,0.1,0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,.,.,.,.,.,.,.,.,.,0.1,0.2,0.2,0.3,0.1,.,0.2,0.1
       Mauritius,.,.,.,.,.,.,.,.,.,.,.,0.1,0,.,0.9,0.1,0.1,.,.,.,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.4,0.3,0.1
       Mozambique,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.3,0.2,1,0.2,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.9,0.9,1.1,0.3
       Namibia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.6,0.4,1.2,0.3,0.5,0.8,0.2,0.3,0.2,0.2,0.2,0.2,0.2,.,.,.,0,0.1
       Niger,.,.,.,.,5.3,4.7,4.7,4,9.2,7,3,2,0.8,3.3,4.4,1.4,1.3,0.3,0.3,0,.,.,.,.,0.1,0.2,0.1,.,.,.,0.1,0.1
       Nigeria,.,.,.,.,.,.,.,.,.,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.2,.,.,.,.,.,0.1,12.9,19.4,7.9,0.1,.,1.4,2.1,1.9,2.2
       Rwanda,.,.,.,0.1,3.2,0,0.1,0,0.1,0.1,0.2,0.1,0.2,0.4,0.4,0.1,0.9,101.9,0.5,0.8,0.5,0.7,0.4,0.2,.,.,0.2,0.3,8.2,0.3,0.5,0.4
       Sao Tome & Principe,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0.4,0.2,0.4,0.5,.,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.2,0.2,0.4,0.2,0.1
       Senegal,23.3,0.2,0.3,0.4,0.5,0.6,0.8,4.5,6.2,5.7,3.5,2,1.5,3.6,8.1,22.2,10.7,0.6,1.3,0.8,3.4,6.5,4.3,1.1,4.5,3,3.3,2.4,1.9,1.9,2,1.3
       Seychelles,.,.,.,.,.,.,.,.,0,0,0,0.1,0.1,0.1,0.6,0.2,0.3,.,0,0,0.1,0.1,0.1,0.3,0.1,0,0.1,0.1,4.6,0.4,0.2,0.1
       Sierra Leone,.,.,.,.,.,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,4.3,0.2,0.4,.,0.1,0.2,0,.,2.1,0.5,0.2,0.2,0.4,0.8,0.3,0.4,0.4,0.4
       Somalia,.,.,.,46.2,42.8,50.1,57.7,60,60.1,34.8,13.7,10.6,1.4,.,.,.,34.7,5.1,.,.,.,.,.,.,.,.,.,.,4.2,.,50.8,48.3
       South Africa,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.4,11.2,0.8,1.5,1.7,1.4,2.6,9.6,8.3,.,.,.,0,0.9
       Sudan,0.3,0.6,13.4,58.6,67.9,199.1,83.5,84.4,81.7,29.3,10,1.5,1.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5.6,171.1,157.6,378.9,198.8
       Swaziland,.,.,.,.,.,.,.,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,.,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.2
       Tanzania,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.1,0.2,0.4,0.2,0.1,0.2,0,0.2,0.2,0.2,0.3,0.3,0.2,.,3.4,.,0.1,0.3
       Togo,0.1,.,.,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,.,.,.,.,.,0,.,.,.,0.1,0.1,0.2,0.5,0,0.2,0.1,0.1
       Uganda,.,.,.,.,0.1,0.1,0.1,0.1,0,.,0.2,0.2,0.2,0.2,0.3,0.4,0.9,0.2,0.2,5.6,5.5,5.4,0.4,0.3,.,.,1.3,3,2.5,0.4,0.4,0.6
       Zambia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.6,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.8,0.2,0.4,0.5,0.4,0.3,0.3,0.4
       Zimbabwe,.,.,.,.,.,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,1.9,0.9,1.8,0.3,0.3,0.3,0.4,0.4,0.4,0.4,.,.,.,.,.,.,.,.
