Country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"       Macedonia, Former Yugoslav Republic",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,1.3,2.5,27,9.2,0.6,21.9,13,14.5,9.9,6.8,5.4,4.2,3.4
       Montenegro,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1
       Poland,.,.,.,.,.,.,.,.,.,.,.,.,0.5,1,0.9,1,2.3,22.8,17.4,159.6,10,89.1,16.3,48.4,34.6,39.5,97.9,33.5,31.3,29.1
       Romania,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.4,6.4,13.1,9.5,19,9.5,8.9,21.8,12.2,30.6,11.8,16.9,15,16.3,12.8
       Serbia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.3
"       Serbia and Montenegro, Former",.,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0,0.1,.,.,.,.,.,.,.,29.4,.,.,.,.,.,.,.,.,.
       Slovakia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.4,0.3,5.2,8.5,4.8,4.8,4.2,14.2,10.7,17.8,8.6,6.6,5.2,4.9,2.1
       Slovenia,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.2,0.2,0.9,1.8,4,3.8,3.2,7.4,5.7,5.7,3.3,2.7,1.5,1.3,1.2
Eastern Europe (not specified),.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.9,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"             [Czechoslovakia, former]",.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.9,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
