"","cnames","y","aid"
"89","Israel","1984","3089.40"
"90","Jordan","1984","212.1"
"91","Lebanon","1984","28.4"
"92","Morocco","1984","127.9"
"93","Oman","1984","72.9"
"94","Saudi Arabia","1984",
"95","Tunisia","1984","202.9"
"96","Yemen","1984","9.2"
"97","Algeria","1985","0.1"
"98","Bahrain","1985",
"99","Egypt","1985","2071.10"
"100","Iraq","1985",
"101","Israel","1985","2464.20"
"102","Jordan","1985","161.7"
"103","Lebanon","1985","1.2"
"104","Morocco","1985","87.1"
"105","Oman","1985","70.7"
"106","Saudi Arabia","1985",
"107","Tunisia","1985","117.2"
"108","Yemen","1985","11.2"
"109","Algeria","1986","0.1"
"110","Bahrain","1986",
"111","Egypt","1986","2143.00"
"112","Iraq","1986",
"113","Israel","1986","2963.10"
"114","Jordan","1986","143"
"115","Lebanon","1986","0.8"
"116","Morocco","1986","61.7"
"117","Oman","1986","15.8"
"118","Saudi Arabia","1986",
"119","Tunisia","1986","112.8"
"120","Yemen","1986","5.3"
"121","Algeria","1987","0.2"
"122","Bahrain","1987",
"123","Egypt","1987","2182.30"
"124","Iraq","1987",
"125","Israel","1987","3017.50"
"126","Jordan","1987","70.3"
"127","Lebanon","1987","0.8"
"128","Morocco","1987","76.4"
"129","Oman","1987","0.1"
"130","Saudi Arabia","1987",
"131","Tunisia","1987","57.1"
"132","Yemen","1987","3.9"
"133","Algeria","1988","0.2"
"134","Bahrain","1988",
"135","Egypt","1988","2115.30"
"136","Iraq","1988",
"137","Israel","1988","2925.40"
"138","Jordan","1988","45.9"
"139","Lebanon","1988","0.6"
"140","Morocco","1988","86.1"
"141","Oman","1988","0.2"
"142","Saudi Arabia","1988",
"143","Tunisia","1988","46.2"
"144","Yemen","1988","3.3"
"145","Algeria","1989","0.2"
"146","Bahrain","1989",
"147","Egypt","1989","2036.10"
"148","Iraq","1989",
"149","Israel","1989","2816.00"
"150","Jordan","1989","18.4"
"151","Lebanon","1989","0.6"
"152","Morocco","1989","82.9"
"153","Oman","1989","0.2"
"154","Saudi Arabia","1989",
"155","Tunisia","1989","49.1"
"156","Yemen","1989","2.3"
"157","Algeria","1990","0.2"
"158","Bahrain","1990",
"159","Egypt","1990","1954.80"
"160","Iraq","1990",
"161","Israel","1990","2815.10"
"162","Jordan","1990","105.4"
"163","Lebanon","1990","0.2"
"164","Morocco","1990","66.5"
"165","Oman","1990","0.2"
"166","Saudi Arabia","1990",
"167","Tunisia","1990","47.2"
"168","Yemen","1990","0.9"
"169","Algeria","1991","0.3"
"170","Bahrain","1991",
"171","Egypt","1991","1892.60"
"172","Iraq","1991",
"173","Israel","1991","2679.80"
"174","Jordan","1991","30.7"
"175","Lebanon","1991",
"176","Morocco","1991","59.5"
"177","Oman","1991","4.7"
"178","Saudi Arabia","1991",
"179","Tunisia","1991","16.9"
"180","Yemen","1991","0"
"181","Algeria","1992","0.2"
"182","Bahrain","1992","1.5"
"183","Egypt","1992","1845.80"
"184","Iraq","1992",
"185","Israel","1992","2619.40"
"186","Jordan","1992","29.2"
"187","Lebanon","1992",
"188","Morocco","1992","32.7"
"189","Oman","1992","0.8"
"190","Saudi Arabia","1992",
"191","Tunisia","1992","15.8"
"192","Yemen","1992",
"193","Algeria","1993","0.2"
"194","Bahrain","1993","0.8"
"195","Egypt","1993","1806.00"
"196","Iraq","1993",
"197","Israel","1993","3241.20"
"198","Jordan","1993","13.2"
"199","Lebanon","1993","0.8"
"200","Morocco","1993","74.9"
"201","Oman","1993","1.5"
"202","Saudi Arabia","1993",
"203","Tunisia","1993","16.3"
"204","Yemen","1993",
"205","Algeria","1994","0.1"
"206","Bahrain","1994","1.4"
"207","Egypt","1994","1800.70"
"208","Iraq","1994",
"209","Israel","1994","2672.60"
"210","Jordan","1994","18.8"
"211","Lebanon","1994","0.4"
"212","Morocco","1994","44.7"
"213","Oman","1994","0.3"
"214","Saudi Arabia","1994",
"215","Tunisia","1994","2.4"
"216","Yemen","1994",
"217","Algeria","1995","0.1"
"218","Bahrain","1995","31.5"
"219","Egypt","1995","1782.40"
"220","Iraq","1995",
"221","Israel","1995","2506.30"
"222","Jordan","1995","44.6"
"223","Lebanon","1995","10.8"
"224","Morocco","1995","5.6"
"225","Oman","1995","0.2"
"226","Saudi Arabia","1995",
"227","Tunisia","1995","9.1"
"228","Yemen","1995",
"229","Algeria","1996","0.1"
"230","Bahrain","1996","107.3"
"231","Egypt","1996","1792.20"
"232","Iraq","1996",
"233","Israel","1996","2390.70"
"234","Jordan","1996","277.8"
"235","Lebanon","1996","7.3"
"236","Morocco","1996","31.5"
"237","Oman","1996","0.9"
"238","Saudi Arabia","1996",
"239","Tunisia","1996","8.6"
"240","Yemen","1996","0.1"
"241","Algeria","1997","0.1"
"242","Bahrain","1997","14.9"
"243","Egypt","1997","1673.10"
"244","Iraq","1997","17.9"
"245","Israel","1997","2312.30"
"246","Jordan","1997","80.4"
"247","Lebanon","1997","3.5"
"248","Morocco","1997","7.5"
"249","Oman","1997","0.9"
"250","Saudi Arabia","1997",
"251","Tunisia","1997","2.9"
"252","Yemen","1997","0.1"
"253","Algeria","1998","0.2"
"254","Bahrain","1998","26"
"255","Egypt","1998","1651.00"
"256","Iraq","1998",
"257","Israel","1998","2282.20"
"258","Jordan","1998","88.6"
"259","Lebanon","1998","0.7"
"260","Morocco","1998","6.8"
"261","Oman","1998","5.6"
"262","Saudi Arabia","1998",
"263","Tunisia","1998","42"
"264","Yemen","1998","0.2"
"265","Algeria","1999","0.2"
"266","Bahrain","1999","22.6"
"267","Egypt","1999","1690.40"
"268","Iraq","1999",
"269","Israel","1999","2352.40"
"270","Jordan","1999","200.7"
"271","Lebanon","1999","0.7"
"272","Morocco","1999","10.7"
"273","Oman","1999","1.1"
"274","Saudi Arabia","1999",
"275","Tunisia","1999","9.2"
"276","Yemen","1999","0.2"
"277","Algeria","2000","0.1"
"278","Bahrain","2000","18"
"279","Egypt","2000","1634.60"
"280","Iraq","2000","0.2"
"281","Israel","2000","3482.90"
"282","Jordan","2000","212.1"
"283","Lebanon","2000","0.7"
"284","Morocco","2000","6.2"
"285","Oman","2000","0.3"
"286","Saudi Arabia","2000",
"287","Tunisia","2000","8.8"
"288","Yemen","2000","0.5"
"289","Algeria","2001","0.1"
"290","Bahrain","2001","7.5"
"291","Egypt","2001","1556.20"
"292","Iraq","2001",
"293","Israel","2001","2381.50"
"294","Jordan","2001","91.6"
"295","Lebanon","2001","0.7"
"296","Morocco","2001","10.8"
"297","Oman","2001","0.3"
"298","Saudi Arabia","2001",
"299","Tunisia","2001","10.3"
"300","Yemen","2001","0.2"
"301","Algeria","2002","0.1"
"302","Bahrain","2002","45.6"
"303","Egypt","2002","1528.70"
"304","Iraq","2002","1.2"
"305","Israel","2002","2421.50"
"306","Jordan","2002","119.9"
"307","Lebanon","2002","0.7"
"308","Morocco","2002","9.6"
"309","Oman","2002","29.9"
"310","Saudi Arabia","2002","0"
"311","Tunisia","2002","11.7"
"312","Yemen","2002","24.1"
"313","Algeria","2003","0.7"
"314","Bahrain","2003","108.8"
"315","Egypt","2003","1501.70"
"316","Iraq","2003","103.3"
"317","Israel","2003","3556.60"
"318","Jordan","2003","738.8"
"319","Lebanon","2003","0.8"
"320","Morocco","2003","21.3"
"321","Oman","2003","93.9"
"322","Saudi Arabia","2003","0"
"323","Tunisia","2003","7.4"
"324","Yemen","2003","3.4"
"325","Algeria","2004","0.8"
"326","Bahrain","2004","28.3"
"327","Egypt","2004","1452.00"
"328","Iraq","2004","1249.20"
"329","Israel","2004","2430.40"
"330","Jordan","2004","234.3"
"331","Lebanon","2004","0.8"
"332","Morocco","2004","14.6"
"333","Oman","2004","28.8"
"334","Saudi Arabia","2004","0"
"335","Tunisia","2004","14.7"
"336","Yemen","2004","23.3"
"337","Algeria","2005","1"
"338","Bahrain","2005","21.2"
"339","Egypt","2005","1403.80"
"340","Iraq","2005","1629.40"
"341","Israel","2005","2426.60"
"342","Jordan","2005","334.3"
"343","Lebanon","2005","0.9"
"344","Morocco","2005","21.3"
"345","Oman","2005","22.8"
"346","Saudi Arabia","2005",
"347","Tunisia","2005","13.3"
"348","Yemen","2005","14.3"
"349","Algeria","2006","0.9"
"350","Bahrain","2006","17.1"
"351","Egypt","2006","1355.80"
"352","Iraq","2006","5753.90"
"353","Israel","2006","2374.80"
"354","Jordan","2006","221.9"
"355","Lebanon","2006","32.1"
"356","Morocco","2006","19"
"357","Oman","2006","15.8"
"358","Saudi Arabia","2006",
"359","Tunisia","2006","10.8"
"360","Yemen","2006","9.8"
"361","Algeria","2007","1"
"362","Bahrain","2007","16"
"363","Egypt","2007","1332.20"
"364","Iraq","2007","4241.70"
"365","Israel","2007","2395.70"
"366","Jordan","2007","215.7"
"367","Lebanon","2007","10"
"368","Morocco","2007","14.2"
"369","Oman","2007","15"
"370","Saudi Arabia","2007",
"371","Tunisia","2007","10.5"
"372","Yemen","2007","11"
"373","Algeria","2008","0.7"
"374","Bahrain","2008","4.6"
"375","Egypt","2008","1290.70"
"376","Iraq","2008","4369.00"
"377","Israel","2008","2380.60"
"378","Jordan","2008","301.3"
"379","Lebanon","2008","8.4"
"380","Morocco","2008","5.3"
"381","Oman","2008","6.1"
"382","Saudi Arabia","2008",
"383","Tunisia","2008","10.1"
"384","Yemen","2008","4.9"
"385","Angola","1977",
"386","Benin","1977",
"387","Botswana","1977",
"388","Burkina Faso","1977",
"389","Burundi","1977",
"390","Cameroon","1977",
"391","Cape Verde","1977",
"392","Central African Republic","1977",
"393","Chad","1977",
"394","Comoros","1977",
"395","Congo (Brazzaville)","1977",
"396","Congo (Kinshasa)","1977","88.1"
"397","Cote d'Ivoire","1977",
"398","Djibouti","1977",
"399","Equatorial Guinea","1977",
"400","Eritrea","1977",
"401","Ethiopia","1977","7.9"
"402","Gabon","1977","5.8"
"403","Gambia, The","1977",
"404","Ghana","1977","0.2"
"405","Guinea","1977",
"406","Guinea-Bissau","1977",
"407","Kenya","1977","44"
"408","Lesotho","1977",
"409","Liberia","1977","1.7"
"410","Madagascar","1977",
"411","Malawi","1977",
"412","Mali","1977",
"413","Mauritania","1977",
"414","Mauritius","1977",
"415","Mozambique","1977",
"416","Namibia","1977",
"417","Niger","1977",
"418","Nigeria","1977",
"419","Rwanda","1977",
"420","Sao Tome & Principe","1977",
"421","Senegal","1977","23.3"
"422","Seychelles","1977",
"423","Sierra Leone","1977",
"424","Somalia","1977",
"425","South Africa","1977",
"426","Sudan","1977","0.3"
"427","Swaziland","1977",
"428","Tanzania","1977",
"429","Togo","1977","0.1"
"430","Uganda","1977",
"431","Zambia","1977",
"432","Zimbabwe","1977",
"433","Angola","1978",
"434","Benin","1978",
"435","Botswana","1978",
"436","Burkina Faso","1978",
"437","Burundi","1978",
"438","Cameroon","1978","13.6"
"439","Cape Verde","1978",
"440","Central African Republic","1978",
"441","Chad","1978",
"442","Comoros","1978",
"443","Congo (Brazzaville)","1978",
"444","Congo (Kinshasa)","1978","52.9"
"445","Cote d'Ivoire","1978",
"446","Djibouti","1978",
"447","Equatorial Guinea","1978",
"448","Eritrea","1978",
"449","Ethiopia","1978",
"450","Gabon","1978","5.4"
"451","Gambia, The","1978",
"452","Ghana","1978","0.6"
"453","Guinea","1978",
"454","Guinea-Bissau","1978",
"455","Kenya","1978","74.3"
"456","Lesotho","1978",
"457","Liberia","1978","1.9"
"458","Madagascar","1978",
"459","Malawi","1978",
"460","Mali","1978",
"461","Mauritania","1978",
"462","Mauritius","1978",
"463","Mozambique","1978",
"464","Namibia","1978",
"465","Niger","1978",
"466","Nigeria","1978",
"467","Rwanda","1978",
"468","Sao Tome & Principe","1978",
"469","Senegal","1978","0.2"
"470","Seychelles","1978",
"471","Sierra Leone","1978",
"472","Somalia","1978",
"473","South Africa","1978",
"474","Sudan","1978","0.6"
"475","Swaziland","1978",
"476","Tanzania","1978",
"477","Togo","1978",
"478","Uganda","1978",
"479","Zambia","1978",
"480","Zimbabwe","1978",
"481","Angola","1979",
"482","Benin","1979",
"483","Botswana","1979",
"484","Burkina Faso","1979","0.3"
"485","Burundi","1979",
"486","Cameroon","1979","5"
"487","Cape Verde","1979",
"488","Central African Republic","1979",
"489","Chad","1979",
"490","Comoros","1979",
"491","Congo (Brazzaville)","1979",
"492","Congo (Kinshasa)","1979","24.6"
"493","Cote d'Ivoire","1979",
"494","Djibouti","1979",
"495","Equatorial Guinea","1979",
"496","Eritrea","1979",
"497","Ethiopia","1979",
"498","Gabon","1979",
"499","Gambia, The","1979",
"500","Ghana","1979","0.6"
"501","Guinea","1979",
"502","Guinea-Bissau","1979",
"503","Kenya","1979","26.1"
"504","Lesotho","1979",
"505","Liberia","1979","3.6"
"506","Madagascar","1979",
"507","Malawi","1979",
"508","Mali","1979","0.2"
"509","Mauritania","1979",
"510","Mauritius","1979",
"511","Mozambique","1979",
"512","Namibia","1979",
"513","Niger","1979",
"514","Nigeria","1979",
"515","Rwanda","1979",
"516","Sao Tome & Principe","1979",
"517","Senegal","1979","0.3"
"518","Seychelles","1979",
"519","Sierra Leone","1979",
"520","Somalia","1979",
"521","South Africa","1979",
"522","Sudan","1979","13.4"
"523","Swaziland","1979",
"524","Tanzania","1979",
"525","Togo","1979",
"526","Uganda","1979",
"527","Zambia","1979",
"528","Zimbabwe","1979",
"529","Angola","1980",
"530","Benin","1980",
"531","Botswana","1980","0.2"
"532","Burkina Faso","1980","0.2"
"533","Burundi","1980",
"534","Cameroon","1980","2.4"
"535","Cape Verde","1980",
"536","Central African Republic","1980",
"537","Chad","1980",
"538","Comoros","1980",
"539","Congo (Brazzaville)","1980",
"540","Congo (Kinshasa)","1980","15.8"
"541","Cote d'Ivoire","1980","0"
"542","Djibouti","1980",
"543","Equatorial Guinea","1980",
"544","Eritrea","1980",
"545","Ethiopia","1980",
"546","Gabon","1980","0.1"
"547","Gambia, The","1980",
"548","Ghana","1980","0.4"
"549","Guinea","1980",
"550","Guinea-Bissau","1980",
"551","Kenya","1980","47.3"
"552","Lesotho","1980",
"553","Liberia","1980","6.2"
"554","Madagascar","1980",
"555","Malawi","1980","0"
"556","Mali","1980","0.2"
"557","Mauritania","1980",
"558","Mauritius","1980",
"559","Mozambique","1980",
"560","Namibia","1980",
"561","Niger","1980",
"562","Nigeria","1980",
"563","Rwanda","1980","0.1"
"564","Sao Tome & Principe","1980",
"565","Senegal","1980","0.4"
"566","Seychelles","1980",
"567","Sierra Leone","1980",
"568","Somalia","1980","46.2"
"569","South Africa","1980",
"570","Sudan","1980","58.6"
"571","Swaziland","1980",
"572","Tanzania","1980",
"573","Togo","1980","0.1"
"574","Uganda","1980",
"575","Zambia","1980",
"576","Zimbabwe","1980",
"577","Angola","1981",
"578","Benin","1981",
"579","Botswana","1981","1.1"
"580","Burkina Faso","1981","0.2"
"581","Burundi","1981",
"582","Cameroon","1981","9.4"
"583","Cape Verde","1981",
"584","Central African Republic","1981",
"585","Chad","1981",
"586","Comoros","1981",
"587","Congo (Brazzaville)","1981",
"588","Congo (Kinshasa)","1981","14.4"
"589","Cote d'Ivoire","1981","0.1"
"590","Djibouti","1981",
"591","Equatorial Guinea","1981",
"592","Eritrea","1981",
"593","Ethiopia","1981",
"594","Gabon","1981","5.6"
"595","Gambia, The","1981",
"596","Ghana","1981","0.4"
"597","Guinea","1981",
"598","Guinea-Bissau","1981",
"599","Kenya","1981","13.7"
"600","Lesotho","1981",
"601","Liberia","1981","13.2"
"602","Madagascar","1981",
"603","Malawi","1981","0"
"604","Mali","1981","0.2"
"605","Mauritania","1981","0.1"
"606","Mauritius","1981",
"607","Mozambique","1981",
"608","Namibia","1981",
"609","Niger","1981","5.3"
"610","Nigeria","1981",
"611","Rwanda","1981","3.2"
"612","Sao Tome & Principe","1981",
"613","Senegal","1981","0.5"
"614","Seychelles","1981",
"615","Sierra Leone","1981",
"616","Somalia","1981","42.8"
"617","South Africa","1981",
"618","Sudan","1981","67.9"
"619","Swaziland","1981",
"620","Tanzania","1981",
"621","Togo","1981","0.1"
"622","Uganda","1981","0.1"
"623","Zambia","1981",
"624","Zimbabwe","1981",
"625","Angola","1982",
"626","Benin","1982",
"627","Botswana","1982","1.2"
"628","Burkina Faso","1982","0.2"
"629","Burundi","1982","0.1"
"630","Cameroon","1982","3"
"631","Cape Verde","1982",
"632","Central African Republic","1982","0"
"633","Chad","1982",
"634","Comoros","1982",
"635","Congo (Brazzaville)","1982","0.1"
"636","Congo (Kinshasa)","1982","21.1"
"637","Cote d'Ivoire","1982","0.1"
"638","Djibouti","1982","0.1"
"639","Equatorial Guinea","1982","0.1"
"640","Eritrea","1982",
"641","Ethiopia","1982",
"642","Gabon","1982","5.2"
"643","Gambia, The","1982",
"644","Ghana","1982","0.6"
"645","Guinea","1982",
"646","Guinea-Bissau","1982","0"
"647","Kenya","1982","65"
"648","Lesotho","1982",
"649","Liberia","1982","24.8"
"650","Madagascar","1982",
"651","Malawi","1982","0.1"
"652","Mali","1982","0.2"
"653","Mauritania","1982","0"
"654","Mauritius","1982",
"655","Mozambique","1982",
"656","Namibia","1982",
"657","Niger","1982","4.7"
"658","Nigeria","1982",
"659","Rwanda","1982","0"
"660","Sao Tome & Principe","1982",
"661","Senegal","1982","0.6"
"662","Seychelles","1982",
"663","Sierra Leone","1982","0"
"664","Somalia","1982","50.1"
"665","South Africa","1982",
"666","Sudan","1982","199.1"
"667","Swaziland","1982",
"668","Tanzania","1982",
"669","Togo","1982","0.1"
"670","Uganda","1982","0.1"
"671","Zambia","1982",
"672","Zimbabwe","1982","0.1"
"673","Angola","1983",
"674","Benin","1983",
"675","Botswana","1983","9.8"
"676","Burkina Faso","1983","0.2"
"677","Burundi","1983","0.1"
"678","Cameroon","1983","4.9"
"679","Cape Verde","1983","0"
"680","Central African Republic","1983","0.1"
"681","Chad","1983","0.1"
"682","Comoros","1983",
"683","Congo (Brazzaville)","1983","0.1"
"684","Congo (Kinshasa)","1983","19.1"
"685","Cote d'Ivoire","1983","0.1"
"686","Djibouti","1983","3.1"
"687","Equatorial Guinea","1983","0.1"
"688","Eritrea","1983",
"689","Ethiopia","1983",
"690","Gabon","1983","2.1"
"691","Gambia, The","1983",
"692","Ghana","1983","0.5"
"693","Guinea","1983","0.1"
"694","Guinea-Bissau","1983","0.1"
"695","Kenya","1983","40.8"
"696","Lesotho","1983",
"697","Liberia","1983","23.9"
"698","Madagascar","1983","0"
"699","Malawi","1983","0.3"
"700","Mali","1983","0.2"
"701","Mauritania","1983","0.1"
"702","Mauritius","1983",
"703","Mozambique","1983",
"704","Namibia","1983",
"705","Niger","1983","4.7"
"706","Nigeria","1983",
"707","Rwanda","1983","0.1"
"708","Sao Tome & Principe","1983",
"709","Senegal","1983","0.8"
"710","Seychelles","1983",
"711","Sierra Leone","1983","0.1"
"712","Somalia","1983","57.7"
"713","South Africa","1983",
"714","Sudan","1983","83.5"
"715","Swaziland","1983",
"716","Tanzania","1983",
"717","Togo","1983","0.1"
"718","Uganda","1983","0.1"
"719","Zambia","1983",
"720","Zimbabwe","1983","0.2"
"721","Angola","1984",
"722","Benin","1984",
"723","Botswana","1984","16.8"
"724","Burkina Faso","1984","0.1"
"725","Burundi","1984","0.2"
"726","Cameroon","1984","9.3"
"727","Cape Verde","1984","0.1"
"728","Central African Republic","1984","0.2"
"729","Chad","1984","3.9"
"730","Comoros","1984",
"731","Congo (Brazzaville)","1984","0"
"732","Congo (Kinshasa)","1984","14.1"
"733","Cote d'Ivoire","1984","0.3"
"734","Djibouti","1984","3.9"
"735","Equatorial Guinea","1984","0.1"
"736","Eritrea","1984",
"737","Ethiopia","1984",
"738","Gabon","1984","5.7"
"739","Gambia, The","1984",
"740","Ghana","1984","0.4"
"741","Guinea","1984","2.9"
"742","Guinea-Bissau","1984","0"
"743","Kenya","1984","42.9"
"744","Lesotho","1984",
"745","Liberia","1984","23.2"
"746","Madagascar","1984","0.1"
"747","Malawi","1984","0.3"
"748","Mali","1984","0.3"
"749","Mauritania","1984","0.1"
"750","Mauritius","1984",
"751","Mozambique","1984",
"752","Namibia","1984",
"753","Niger","1984","4"
"754","Nigeria","1984",
"755","Rwanda","1984","0"
"756","Sao Tome & Principe","1984",
"757","Senegal","1984","4.5"
"758","Seychelles","1984",
"759","Sierra Leone","1984","0.1"
"760","Somalia","1984","60"
"761","South Africa","1984",
"762","Sudan","1984","84.4"
"763","Swaziland","1984","0.1"
"764","Tanzania","1984",
"765","Togo","1984","0.1"
"766","Uganda","1984","0.1"
"767","Zambia","1984",
"768","Zimbabwe","1984","0.3"
"769","Angola","1985",
"770","Benin","1985","0.1"
"771","Botswana","1985","16.3"
"772","Burkina Faso","1985","0"
"773","Burundi","1985","0.2"
"774","Cameroon","1985","9.1"
"775","Cape Verde","1985","0.1"
"776","Central African Republic","1985","0.2"
"777","Chad","1985","9.2"
"778","Comoros","1985",
"779","Congo (Brazzaville)","1985",
"780","Congo (Kinshasa)","1985","14.7"
"781","Cote d'Ivoire","1985","0.3"
"782","Djibouti","1985","4.6"
"783","Equatorial Guinea","1985","0.1"
"784","Eritrea","1985",
"785","Ethiopia","1985",
"786","Gabon","1985","0.2"
"787","Gambia, The","1985","0.1"
"788","Ghana","1985","0.5"
"789","Guinea","1985","5.5"
"790","Guinea-Bissau","1985","0"
"791","Kenya","1985","38.2"
"792","Lesotho","1985",
"793","Liberia","1985","23.2"
"794","Madagascar","1985","3.7"
"795","Malawi","1985","2.1"
"796","Mali","1985","0.3"
"797","Mauritania","1985","0.1"
"798","Mauritius","1985",
"799","Mozambique","1985",
"800","Namibia","1985",
"801","Niger","1985","9.2"
"802","Nigeria","1985",
"803","Rwanda","1985","0.1"
"804","Sao Tome & Principe","1985",
"805","Senegal","1985","6.2"
"806","Seychelles","1985","0"
"807","Sierra Leone","1985","0.1"
"808","Somalia","1985","60.1"
"809","South Africa","1985",
"810","Sudan","1985","81.7"
"811","Swaziland","1985","0.1"
"812","Tanzania","1985",
"813","Togo","1985","0.1"
"814","Uganda","1985","0"
"815","Zambia","1985",
"816","Zimbabwe","1985","0.4"
"817","Angola","1986",
"818","Benin","1986","0.1"
"819","Botswana","1986","6.3"
"820","Burkina Faso","1986","0.1"
"821","Burundi","1986","0.2"
